name,lang,n,size(B)_mean,cpu-time(s)_mean,mem(KB)_mean,size(B)_std,cpu-time(s)_std,mem(KB)_std
binarytrees,chapel,7,543,0.031666667,9898666.666666666,89.23564310296643,0.00057735,43797.20344192447
binarytrees,chapel,21,543,19.981416666666668,878339072,73.89413276534789,9.085628193942975,683318701.9
binarytrees,clang,7,808,0.0095,4083712,107.0202473055138,0.004041452,1279307.8619357683
binarytrees,clang,21,808,15.767270833333335,237096106.66666666,93.66304478,11.521081390843934,87668491.99437927
binarytrees,csharpaot,7,694.75,0.01375,7151616,21.468969855739857,0.0005,147796.93918346212
binarytrees,csharpaot,21,694.75,18.0748125,1990356992,18.78942663285629,0.7819128660235704,884992519.2811071
binarytrees,csharpcore,7,694.75,0.092,33799168,21.468969855739857,0.007527727,923472.3972023564
binarytrees,csharpcore,21,694.75,19.378208333333333,2038731349.3333333,18.78942663,1.2587157412918484,955811570.4618955
binarytrees,dartexe,7,998.6,0.0128,9680486.4,347.4986330908368,0.002683282,331416.7734270551
binarytrees,dartexe,21,998.6,31.29205,1357277457.0666666,313.4351607589679,15.581483630132968,1656807781.9451547
binarytrees,dartjit,7,998.6,1.1558,187346124.8,347.4986330908368,0.037811374,2546785.621932716
binarytrees,dartjit,21,998.6,42.77446666666666,2747323733.3333335,313.43516075896804,14.377068246751541,1380152223.5307467
binarytrees,erlang,21,455.5,12.472541666666666,502680746.6666667,30.134481188859684,1.276173491652723,9753194.122
binarytrees,fpascal,21,978.6666666666666,5.096583333333333,136893553.7777778,22.71311766987788,0.048664668908768194,17937.38331467972
binarytrees,fsharpcore,7,522,0.20500000000000002,42149888,7.0710678118654755,0.084852814,4196752.285447403
binarytrees,fsharpcore,21,522,19.45425,1014080682.6666666,5.107539184552542,4.137809946357363,68068231.79740477
binarytrees,gcc,7,808,0.00775,3657728,107.0202473055138,0.003095696,760349.7080615823
binarytrees,gcc,21,808,15.711625,236842752,93.66304477992806,11.822954956310042,87916799.97488531
binarytrees,ghc,7,619.1428571428571,0.014857142857142857,9699328,136.62775288038245,0.000377964,231427.02062925402
binarytrees,ghc,21,619.1428571428571,12.01890476190476,425530172.95238096,127.25244266902048,4.739870006399691,207536224.32790157
binarytrees,gnat,21,1429.3333333333333,24.336555555555556,343938389.3333333,517.5156036294945,10.468828673582612,147202405.25290596
binarytrees,go,21,678.6666666666666,53.889319444444446,365406606.2222222,162.15138119219088,11.112077066305105,127187129.56509823
